ASM34854	KOS-CRM_KOS-CRM(B2C)_CustomerSync_서비스요청_2선
ASM39837	KOS-오더_KOS-오더_KOS-모바일연동_서비스요청_2선
ASM35157	KOS-CRM_KOS-CRM(B2C)_KOS-Portal_서비스요청_2선
ASM39817	KOS-오더_KOS-오더_KOS-모바일계약_서비스요청_2선
ASM14494	Shared Service (보안)_사내접근제어_사내접근제어_서비스요청_운영
ASM30042	KOS-요금_ICIS_NS(와이브로)_서비스요청_운영
ASM30356	KOS-요금_ICIS_청구계약_서비스요청_운영
ASM14430	OSS_NeOSS_서비스수준(SLA)_서비스요청_운영
ASM14324	KOS-오더_i115전보_i115전보_서비스요청_운영
ASM30045	KOS-요금_ICIS_계산(운영)_서비스요청_운영
ASM38998	KOS-오더_KOS-Customer_KOS-고객,법정소송_서비스요청_2선
ASM30016	NetWork_대구
ASM14428	OSS_NeOSS_공통(CIS)_서비스요청_운영
ASM14426	OSS_NeOSS_고장관리(SA-080)_서비스요청_운영
ASM14362	Comm & collaboration_메일아카이빙_메일아카이빙_서비스요청_운영
ASM17758	BI & DW_BI/DW_BI/DW_서비스요청_운영
ASM14551	KOS-Web_케이티닷컴_케이티닷컴_서비스요청_2선
ASM30086	이미징정보관리시스템-운용
ASM14543	KOS-Web_상품사전_상품사전_서비스요청_2선
ASM37155	결제과금플랫폼_정보료한도관리 (RCM)_정보료한도관리 (RCM)_서비스요청_2선
ASM14262	KOS-Web_스마트명세서_스마트명세서_서비스요청_운영
ASM30039	KOS-요금_ICIS_NS(이동국제)_서비스요청_운영
ASM24660	kt telecop 경영전산_ERP_인사_서비스요청_운영
ASM40507	kt telecop 모바일_스마트oss_스마트oss_서비스요청_2선
ASM39003	KOS-오더_KOS-Customer_KOS-통합UI, 데이터연동_서비스요청_2선
ASM31141	OSS_OSS-OM_PCP_서비스요청_운영
ASM16566	Comm & collaboration_모바일KATE_모바일KATE_서비스요청_운영
ASM24664	kt telecop 영업전산_영업전산_공통_서비스요청_운영
ASM40032	KOS-요금_ICIS_ICIS-인터넷응용_서비스요청_2선
ASM39877	KOS-오더_KOS-오더_KOS-IPTV_서비스요청_2선
ASM39748	KOS-요금_KOS-Rater_KOS-Rater_서비스요청_2선
ASM37357	KOS-Web_고객센터App_고객센터App_서비스요청_2선
ASM14361	Shared Service (보안)_메일바이러스월_메일바이러스월_서비스요청_운영
ASM39560	KOS-요금_KOS-Billing_공통그룹_Billing_서비스요청_2선
ASM34846	KOS-오더_KOS-공통_KOS Portal_서비스요청_2선
ASM34992	인증플랫폼_스마트멀티인증플랫폼_스마트멀티인증플랫폼_서비스요청_2선
ASM38548	인증플랫폼_SHUB_IAMUI_서비스문의_2선
ASM30562	KOS-요금_ICIS_집전화_할인_서비스요청_운영
ASM31972	ERP_ERP_프로젝트_서비스요청_운영_시스템
ASM30563	KOS-요금_ICIS_집전화_부가_서비스요청_운영
ASM30366	N-STEP운영(고객-결합)-2선
ASM35772	서비스플랫폼_메시지매니저_메시지매니저_서비스요청_2선
ASM18770	ERP_ERP_로그인/권한/HW/인프라_서비스요청_운영_시스템
ASM38828	인증플랫폼_SHUB_OSCA_서비스요청_2선
ASM40536	KOS-Web_마이페이지_마이케이티GW_서비스요청_2선
ASM14307	KOS-오더_고객연계정보_고객연계정보_서비스요청_운영
ASM38893	KOS-유통_KOS-유통_KOS-유통망_서비스요청_2선
ASM39822	KOS-오더_KOS-오더_KOS-모바일상품_서비스요청_2선
ASM30015	NetWork_강원
ASM14405	ERP_협력사성과관리_협력사성과관리_서비스요청_운영
